varname	mean	std_dev	n_sigma	KS
fv_d3D	0.963391	7.22992e-05	0	3.20841e-25
fv_d3Dsig	0.968068	7.25723e-05	0	1.17694e-20
fv_d3D	0.95674	7.21365e-05	1	4.74689e-28
fv_d3Dsig	0.971409	7.32868e-05	1	4.12396e-19
fv_d3D	0.915823	6.94467e-05	2	2.78144e-36
fv_d3Dsig	0.97322	7.40564e-05	2	3.98558e-16
fv_d3D	0.902492	7.05694e-05	3	1.14585e-30
fv_d3Dsig	0.974347	7.64398e-05	3	6.81102e-20
fv_d3D	0.902049	7.47301e-05	4	5.57164e-26
fv_d3Dsig	0.974248	8.09019e-05	4	7.09645e-24
fv_d3D	0.902049	7.47301e-05	4	5.57164e-26
fv_d3Dsig	0.974248	8.09019e-05	4	7.09645e-24
fv_d3D	0.922896	8.22019e-05	5	5.43159e-31
fv_d3Dsig	0.973885	8.70505e-05	5	2.33442e-21
fv_d3D	0.893137	8.50178e-05	6	1.93154e-37
fv_d3Dsig	0.974562	9.324e-05	6	1.95945e-18
fv_d3D	0.884547	9.03346e-05	7	0
fv_d3Dsig	0.975874	0.000100264	7	1.24266e-15
fv_d3D	0.852916	9.32011e-05	8	0
fv_d3Dsig	0.975702	0.000107331	8	1.06565e-13
