run	lumisection	evt
297603	402	724597337
297487	531	681749143
297219	1164	1959797910
299065	123	188234150
297487	190	253029483
297505	203	307486500
297178	693	866248061
297292	415	749767062
299329	40	69613410
297433	129	201374857
297411	434	698849884
297411	671	1118749756
297665	85	142494976
297100	129	232755404
297219	610	1145549737
297558	246	404361540
297674	48	78382139
297219	638	1191541861
297467	59	62477217
299184	330	544089556
297722	78	61844374
297604	177	292166171
297675	302	518548121
297424	90	117405443
299481	352	417976709
300122	272	367195053
299369	172	238270018
300467	371	369375989
300817	273	381902956
300122	810	1111441685
300122	1262	1695468339
301323	334	330391454
299395	132	194324947
300389	78	103648699
300466	214	289170844
299597	65	71489016
300785	1070	1246695113
300812	15	23107784
300400	152	229551381
300122	819	1123711076
299481	166	198165860
299380	51	22733807
300284	444	603770841
299481	172	204786070
300811	382	639254110
300280	469	604075829
300280	491	637637379
300284	532	713789678
299369	267	359213317
299370	328	415829693
300777	471	727684973
300284	513	690095791
300284	500	673119534
300226	228	284097220
299381	2	1766338
300122	349	476692247
300280	494	642360641
300157	817	822536781
300280	301	366428388
300785	73	98883001
300576	432	650941803
301392	17	17044155
301519	162	121802919
300515	458	749537233
300515	639	1021221835
301384	185	216614950
301384	282	319252733
300515	225	387153209
300785	314	413277801
301142	414	366530016
299597	395	419230903
300237	17	24295904
300817	167	233265668
300742	233	342415398
300497	139	183267226
300576	947	1367839401
300777	96	123690975
300777	193	291278795
300742	91	78350378
300515	200	345415315
300576	297	457067246
300466	298	394434263
302029	15	18474458
301524	63	57626119
300811	98	159731880
301161	250	204407348
300633	332	502511387
300636	1559	1735665030
301959	460	538018751
301997	196	199305956
300466	328	431994454
300576	726	1073876665
300517	577	670777386
300558	46	58637480
301283	662	553544213
300558	507	705998877
301694	80	81919968
301330	330	336603945
301283	14	10887763
301997	239	249203320
300155	912	1235076653
301987	423	317326362
301531	4	2601267
300635	59	83272516
301529	3	1879530
301987	336	256111580
301323	820	781553464
301330	244	248247703
301567	202	195590988
301627	620	533009090
301959	144	161858922
301959	969	1019307034
301475	5	3492078
301476	445	342586899
301665	37	33636881
301475	12	8533477
301627	195	160459925
301417	279	288756998
301472	737	700170996
301449	81	63352234
301448	200	173522792
301914	78	55135455
301476	13	10477192
301959	1269	1259038312
300155	653	878895708
300122	802	1100993062
301476	421	324327715
301532	563	342188656
301665	206	177196880
301941	182	173005003
301472	375	360065493
300466	74	102447079
300155	1096	1471764773
299595	81	96571514
300464	163	238535271
300817	122	168750542
300464	150	219176655
300122	157	192722010
300122	171	213106871
300806	87	83195491
299369	190	262038135
302448	433	514247810
302473	74	74315493
302573	181	191989947
302163	476	433374639
302225	415	369251630
302472	323	405672440
302322	507	415796435
302163	1194	973611893
302485	300	377462117
302572	50	55202085
302263	143	138816891
302485	598	700960568
302635	846	783161117
302388	310	367541475
302322	541	443044750
302322	543	444730917
302597	812	681904689
302663	488	589431508
302634	256	304236539
302573	978	906035412
302596	323	379236782
302525	376	472415345
302596	508	597317829
302573	525	527357532
302485	86	114310415
302635	961	874429046
302663	91	120879040
302651	33	47302119
302525	255	330484342
302597	366	323174619
302553	120	152385468
302031	203	220340588
302472	400	496397665
304508	1154	1383157669
304169	103	91668701
304507	113	129629320
303838	1466	1844472812
303838	1718	2052053527
303948	232	340150602
304169	512	805660537
304144	1826	2688150152
304797	1601	2526871677
304292	687	1232829654
304170	567	486085427
304366	552	910826139
304616	503	816166964
304062	1337	1807572992
304292	1662	2235914456
304169	1607	2068069623
304169	869	1289255299
304292	796	1375151557
304508	603	844783840
304333	567	896546690
304144	389	630270667
304333	222	323144344
304506	9	13708342
304204	234	317446279
303838	1227	1620689440
304366	775	1303067900
304169	485	760924497
303832	1284	1409952249
304655	559	843499890
303885	1037	1424514823
304616	371	588971093
304119	117	129881035
304655	372	598840384
304447	838	1426186586
304777	406	680291441
304120	182	349449092
304655	54	93927499
304663	133	225666795
304738	157	276591423
304200	84	162170993
304797	1288	2179247931
304738	44	77773978
303838	1374	1763218006
304508	628	872706678
304738	1386	2164029848
304354	131	112463381
304144	2350	3130831281
304655	460	718266021
303832	1653	1696985323
304562	458	712297454
304292	340	680087859
304777	372	622760810
304169	245	359326645
304144	316	502257900
304654	500	781554407
304562	547	889017217
304366	309	518325740
304366	1679	2422394485
304125	829	1210470357
304366	319	525812050
304447	1485	2177874818
304654	355	572099474
303948	552	892551683
304738	29	51707130
304209	201	303757134
304616	440	701959741
303948	295	456972721
304738	1459	2241067471
303838	456	686297215
304778	811	1251831309
304738	338	575082154
304778	1222	1662626023
304777	77	131433451
304738	636	1095131342
304778	616	1012086073
304333	1274	1967964342
304797	2898	3540631088
304292	626	1143404031
304797	1763	2683970503
303832	383	477327057
303885	1459	1851882388
304158	1387	1702290285
304062	112	97855533
305112	672	1145073309
305059	365	503791960
305336	149	229720773
305064	1586	1963471868
305188	311	528196455
305336	198	320617457
305112	369	595281049
305081	474	804681518
305064	795	1203430892
305045	337	582347614
305188	303	516406590
305314	24	29093821
305341	51	89992420
305188	862	1284149746
305204	560	916430529
305064	1035	1468620732
305045	267	468656060
305336	179	285052934
305248	396	711409405
305636	277	441055629
305186	315	512021330
305247	347	581888078
305045	98	180374631
305183	39	67133128
305188	95	173175246
305113	9	2352295
305059	447	624464467
305518	929	1518955897
305406	1329	2141104445
305312	52	89611452
305282	191	252005007
305312	190	341242737
305842	203	234727085
305636	906	1604701939
305045	862	1337358123
305586	232	365550711
305248	799	1406691957
305518	6	11898932
305365	46	78605277
305248	631	1126423199
305351	250	445838883
305365	544	890776753
305406	1306	2113671344
305366	703	1060492195
305237	1037	1948034324
305237	139	268052750
305636	71	42688845
305586	461	792410282
305902	371	577853545
305351	779	1172461795
305898	292	442997986
305252	112	139538441
305377	91	161563870
305366	560	884424488
305405	278	501306781
305377	160	281379143
305313	30	55305588
305313	600	975502532
305516	113	139511598
305252	96	119946590
305586	422	720291490
305248	292	509732728
305237	122	235371367
305045	450	759571738
305766	611	1067616743
305821	793	1337967215
305862	466	759764001
305766	895	1597993096
305821	760	1279387088
305840	716	1273356478
305809	189	279044460
305207	199	282774310
305059	334	458376583
305898	620	1008334546
305814	1557	2580327376
305188	435	703997496
305207	258	384670527
305045	506	851383101
305248	748	1325562034
305112	1387	2289723163
305898	76	46087745
305636	165	228472428
305064	1451	1855158959
297411	162	239287318
297215	11	17566071
297219	1153	1945207765
297424	98	128663658
297503	212	390054894
297485	86	150450258
297604	230	376137270
297219	2271	3193029291
297296	75	109950505
297675	337	576547436
297483	96	103806263
297505	127	193404844
297485	193	328871773
297603	138	238529113
299380	89	85267277
300122	700	976758688
300284	197	280987641
299593	679	879176046
300280	131	146337078
301298	842	793205634
300226	386	532083357
300282	15	20896840
300157	227	244411519
299481	648	727889477
299480	390	555701988
300806	124	151585654
300806	125	153144957
300389	141	230194288
300238	37	16233494
300401	436	515656305
300237	458	642980221
300155	636	855358336
300282	76	110006066
300238	189	183580839
300375	14	17807465
299597	439	461107799
301298	697	668763672
300466	53	74758393
300233	115	122991117
300237	142	206502654
300785	1157	1330731672
300122	943	1291809494
300123	144	169410904
300155	235	293067843
300401	223	262124014
300817	415	575685367
299370	224	270216826
300155	336	439610703
299396	39	64283310
299481	1105	1153352489
300155	448	593714337
301391	107	77808626
300785	1049	1226065773
299481	222	265023834
300155	1102	1478308786
301142	440	386049957
301530	16	12516232
300742	318	488426773
301531	106	79185077
300466	611	760761555
300560	752	829093368
301142	177	171548468
300459	166	236937752
301986	363	309560494
300155	1070	1440494838
300806	179	244553390
301984	80	87255568
300517	537	627485248
301392	619	585483233
301183	127	114424421
300467	139	143235450
300636	1006	1220121823
300517	294	356148083
300777	419	641832188
300516	90	113870061
300633	104	159528046
301959	464	541737595
301531	145	107434015
300235	73	113364449
301384	151	178207773
301519	143	102179305
300574	42	30948910
301519	235	195829301
300517	528	618292667
300459	301	458175012
300497	43	22709622
300284	151	216756519
299595	66	78344976
300284	613	808028264
300742	255	380127755
301984	266	316644387
300636	1180	1393035799
300636	1190	1402855595
301161	243	198691774
300515	614	984569594
300459	147	206456312
301694	102	120325976
301985	134	145175368
300560	386	449419294
300785	358	468921270
301987	46	36737313
300576	402	608367848
300785	406	526984198
300517	127	156795451
301391	185	166004424
301531	304	221874562
300636	1073	1287860580
301476	792	584927834
301476	790	583175502
300155	1132	1514927967
300636	563	731432207
300780	203	291528849
301142	835	657155402
300463	82	119452236
300785	958	1136288701
301447	223	202990525
301449	276	213953873
301567	254	247704819
301476	379	292332671
301998	1621	1261844167
301567	324	318118968
301959	1774	1613033008
301472	614	589349290
301448	293	250956869
301959	201	233105965
301448	28	25376291
301959	788	862026294
301397	294	216806430
301941	197	187625962
301987	193	149373736
301987	732	519816315
301397	299	220688208
301461	201	177966488
300777	482	744007192
300122	392	536233001
300122	91	86288294
300811	273	467879167
300157	25	21035705
301959	907	967573300
301397	371	274557943
301530	37	28856354
300284	448	608785961
299480	128	188783458
300123	551	597644737
299595	5	5574999
299597	413	437121692
300123	526	573172414
300238	135	122097639
300401	99	107961680
302492	18	9316720
302448	202	238992946
302479	68	49251826
302131	263	230827233
302388	183	211976289
302328	548	474523866
302240	744	711038804
302322	118	78693701
302392	153	170518614
302393	373	418440008
302573	540	540587055
302131	711	618330724
302229	63	64069489
302473	124	122684684
302163	630	565775253
302494	529	439610308
302229	196	195405956
302393	275	314939612
302388	274	324087929
302393	396	442443434
302031	316	339611591
302263	756	651348130
302393	537	585128716
302328	85	43629772
302043	190	108613322
302131	743	643187792
302159	112	92543943
302163	205	183241174
302479	72	54417724
302043	2	843222
302474	44	37828605
302388	460	534539817
302225	275	242866895
302525	609	721749337
302573	857	810529890
302596	810	920467907
302663	1	837571
302597	322	285315580
302526	69	65420472
302596	509	598904683
302573	525	527268704
302573	582	576597219
302262	194	201631470
302448	1271	1322546281
302634	60	27978974
302663	150	195211360
302597	333	295471826
302635	380	381824788
302573	1202	1079309000
302553	47	59837145
302485	376	462966363
302485	854	955081250
302448	1562	1553814162
302031	361	382800752
302240	469	477630566
302474	34	28932478
302263	923	775730979
302473	352	334081981
302654	35	45352989
302573	510	513396576
302031	808	781581679
304333	1373	2077779998
304366	1174	1881560005
304062	57	8544194
304169	435	680195731
304062	1568	2027160781
303838	173	225135025
304169	1467	1924115459
304797	1818	2733167299
304447	985	1622717204
304292	849	1439783416
304292	1448	2055192945
304292	1683	2252457289
303999	341	562034723
