run	lumisection	evt
315713	718	894912526
315713	1063	1223363006
316153	284	383404707
316201	427	598902654
316202	211	297339791
316218	352	495349330
315510	202	225349919
316701	292	419094230
315510	241	265884976
315840	121	128133560
316877	72	112179506
316877	161	246988553
315512	919	686677291
316701	325	468070806
316720	118	156831100
316666	847	1203848227
316114	1378	1390652031
315489	292	169847371
316701	182	249481820
315339	565	371361718
316187	789	1076740512
316216	171	224914617
315801	264	259194851
315713	377	497513524
316199	1048	1456781838
315713	494	639173766
316201	320	446644233
315764	104	113964603
316569	631	835040334
316879	101	130666516
315721	485	617979737
316701	271	388842195
316766	1670	2327449041
316766	1168	1611569166
316766	1649	2297511211
316766	1715	2387017833
315512	860	651711254
316766	1847	2554825610
316928	162	195383011
316700	294	375797445
315543	99	69381023
315646	253	181458712
315703	383	400286945
315689	226	261415181
315646	950	581070958
315645	491	466598644
315646	394	272776502
315645	330	328868867
315689	168	189309992
315689	935	959742525
315645	448	431180514
315645	220	227198143
315689	682	745963970
315689	750	806172866
315646	558	370985432
315689	793	843840724
315689	889	923395075
315645	538	504619565
315647	46	20214288
315689	246	286276771
315689	918	946740733
316216	76	79606095
315357	302	251910847
316701	471	684561531
316380	498	369698115
316505	1166	1530270255
316505	491	584215377
316505	530	628428121
316505	548	648352777
316505	577	687093952
316505	601	725237934
316505	1237	1620360389
316505	818	1046286750
316505	998	1305776505
316718	116	181609245
316667	99	147394831
316717	66	79230359
316700	175	207687150
316758	416	566289025
316758	1564	2256759967
316876	195	269644378
316758	140	193381056
316758	195	273529267
316758	253	356238841
316722	650	930638269
316758	1382	2000270559
316758	1508	2178616978
316701	140	180526918
316758	292	409184592
316758	419	570899642
316701	112	134245548
316985	450	600874546
316758	547	738855368
316758	1168	1679395583
316717	109	130632240
316717	178	240159526
316722	375	501484589
316758	306	426469919
316758	307	429061504
316876	205	285024098
316876	230	324044838
316876	282	400585768
316758	713	1000404991
316766	589	748288236
316766	664	870214215
316876	245	346187256
316876	253	357992907
316995	584	879911172
316241	50	78301652
316201	173	221413701
316239	603	758616269
316239	150	183409129
316241	196	300837509
316201	287	395976058
316569	327	400382927
315800	101	102692544
316569	1070	1457922498
316569	1210	1649706848
316060	754	787385382
316993	71	50984016
316470	115	153363652
316469	126	152049996
316470	34	46607373
316153	138	197455919
315322	1343	780096663
316114	1402	1411958806
315322	1092	670883632
315357	76	44493803
316114	298	319200476
316114	1086	1105962739
316240	1075	1513619880
316187	744	1010732499
316993	134	139548544
316993	194	221387524
316993	244	287212887
316995	50	60479403
316995	89	109707494
316995	168	241140025
316995	280	421803014
316995	317	478201052
316993	212	244766196
316995	551	833334143
316995	351	530263558
316995	375	564769130
316114	1361	1375862040
316199	1085	1507071745
316114	990	1001815826
316240	1002	1412781444
316240	321	446414606
316082	67	62177049
316187	332	441297497
316187	332	440493209
316199	490	682777937
316199	963	1339112133
316199	485	675823829
316187	163	223472442
316199	580	793825625
316187	286	382813239
316218	781	1085826303
316110	61	86763747
316187	69	95751056
316199	478	667042051
316187	75	103274480
316187	589	776116377
316153	678	919600095
316470	421	550649332
316505	455	541661344
316505	144	152581404
315489	102	62229273
315770	44	25116655
316457	89	119481766
315512	109	101691597
316380	877	715534592
316380	903	738452305
315510	152	170920762
315506	98	119429144
316217	124	145697188
315512	995	730946459
316720	90	116684266
315713	974	1144288316
315512	42	39495962
316569	1436	1970348313
315512	686	543105714
316569	246	306069329
316666	694	991069049
315512	744	579906990
316701	252	359728023
316701	435	630573998
316766	194	228810500
316666	151	184470331
315840	272	335741153
316569	1189	1617305973
316766	91	77397111
316717	3	1920326
316985	488	647056808
315361	403	344634477
315361	468	395922483
315361	177	147695963
315357	401	331564421
315361	337	289821236
315366	120	73583760
315363	69	45904572
315366	374	213278636
315420	112	81792251
315420	175	134880264
315420	1173	745450879
315420	607	440157393
315420	1395	844453291
315488	47	18636261
315488	51	23663482
315488	129	110329334
315488	399	386310201
315543	128	105729063
316199	125	159640783
316187	34	46615289
316199	226	317141992
315543	170	155564518
315557	108	123604119
316569	1235	1687079776
315489	191	113949045
315713	486	629814393
316457	435	493729332
315800	256	314626087
315840	107	108629000
316202	25	32867548
316219	95	149351151
316153	605	815412866
316219	71	111682574
316216	126	158082974
315800	484	594333649
315801	255	251395985
316219	218	335243960
316219	219	336645055
315270	143	123097403
315322	524	368018041
316059	187	209672321
315267	15	14768748
315267	46	44939014
316187	231	312269352
315270	438	358923974
316060	16	13049218
316060	47	39637292
316060	49	40960569
316060	98	82849618
316082	253	322190619
316059	308	337634720
316059	513	524010066
316199	514	712916856
316362	95	67538061
316060	70	58934463
316060	441	452163893
316362	38	26735122
316082	333	424581745
316082	402	510302763
316110	111	154709007
316059	273	301389274
316059	331	354123291
316060	682	713907951
